49	Элвис33	184045121	4021844118	8759184
50	Thaunt	183786290	5589142463	19782165
51	Catler	183309767	2446819287	7122117
52	Turbonik	183061378	3091603866	5469600
53	Mardröm Draugr	182328294	4786365876	368670
54	Viettell	181490347	2814495368	7917733
55	A R	181348531	2830231984	15680163
56	Simēply	181266720	5592775603	4712674
57	Axe Ex Mashina	179619320	7594017152	9576329
58	Tora	179068267	2045594386	317690
59	Mifeng	178310151	3743192675	8081403
60	MRS DEATH	178089857	3134151865	860780
61	BeastofLebanon	177486855	3265847826	14384698
62	SozYazarTpYapar	177048709	11339513652	293500
63	Catti Brie	176638859	536193945	7383863
64	v Roki v	176149817	3699282480	420200
65	KatalonEc	175778813	7967727306	72500
66	Ragnar Pedro	175741788	2859762074	70138290
67	Grimmy	175740399	6679529088	1253825
68	o0oHackDiep68	175583448	1306068739	7012618
69	EternalDeath	174379453	4695604611	7859876
70	Ali	174254945	750395703	24784023
71	Muttley	173383747	2681530896	26707858
72	DoraB	173175740	3640885346	15540797
73	Nephrite	171718186	8219630108	8632
74	GRiZLiK 18russ	171560872	2205584161	45690127
75	Phúc XO	171338070	2271947029	7582242
76	DEATH isThe WAY	171172091	946420086	10883945
77	Inspector Crow	170337699	3580056441	15018069
78	Beckett fett	170308055	3179967649	16362475
79	Công Đạo	170152130	3421029865	460800
80	Quantum	170056596	1038068997	10089619
81	Lord of Dragon	169970416	4426438973	246800
82	NYC Gangz	169136355	979482598	8096212
83	Okeanisa	168831327	835542815	15443416
84	peacefall	168359335	3411718142	8335834
85	Toroto	168230775	3400181921	15878242
86	KOLOBOKK	168056846	1893226767	11412094
87	brayan	167778057	1133757005	90496379
88	Cokon 1000	167270670	1828391505	7817159
89	Kenvin Tai	166811555	1045265035	410000
90	Rusooo	166234923	9411336126	13036742
91	x Kraken x	164827024	1651602292	52991785
92	zapekanka	164545686	2877898870	8172168
93	S i r	164545080	1246086852	5432588
94	T1 Tarek	163849004	1920397893	689329
95	Abadi	163688743	1328985134	48148014
96	Viddar160	162964838	443945482	39248083
97	SPUDIman	162485051	870956685	11710912
98	Peace	162166922	3808100444	86452359
99	Barb	161864164	15877815900	5231000
100	l3omb	161127839	1331318538	15346728
101	AMAK	160982050	4333807098	846000
102	skywraiith	160280610	1618022493	14426208
103	ALANchik	160109811	2349362215	6966749
104	Мавейз	160041228	553273007	7218170
105	BRAVE	159865925	5510059382	9673662
106	UHTRED BR	159746158	3034948821	752586
107	Tinuviel	159602406	1222172829	84568570
108	Doc7Ragnar	159249120	885423454	82519536
109	Nosal	159050667	580261506	6839470
110	RemarkNess	159024617	1409505256	8041951
111	MeLioDas	158697132	1123518996	8333449
112	Vietgangz	158540744	2202962647	179100
113	Stiven I	158390284	722004466	15379330
114	[ambiguous-I/l]	158212335	354542143	6695230
115	Piyush	157974754	3885819042	15192491
116	Bonk	157895101	3292837414	450600
117	AHT	157587338	2170057905	6493078
118	VotTakVot	156033700	1128765775	41299130
119	marquinhozulu	155584095	848614632	67922955
120	MaximUSSR	155450500	628879599	34060834
121	zklmn	155345965	1463062829	15030883
122	So1o	154683204	12904008362	14742876
123	Herooo	154203256	1159721704	71000
124	ДаНуНа	154089489	1580824984	16283880
125	SarMatNOA	153734969	555076488	7467506
126	Dima 1	152950557	1653484607	74262775
127	EzeKiel	152919951	4051572296	5220342
128	DickeY	152738752	4766135449	7842657
129	Nastenblsh	152571207	5048759885	26391297
130	ТагилРу	152226664	1048817047	5144713
131	ТОНИГАН	152104013	1141819478	40028975
132	hab1st	152018311	1990298553	430764
133	EgoisT	151897128	1794028245	6853611
134	Barcode	151778979	2916513706	15847633
135	Peegee	151704041	1553147044	8612259
136	Quang Vi	151561262	1441701120	17748365
137	ツMiaMoRツ	151412313	912731651	19427763
138	RenatDoc	151345049	5888307067	8285363
139	Griffin	151281601	2629026047	9229986
140	Noixa	151063361	2744917377	41772003
141	ТиарА	150952463	683473275	50105024
142	Ma 5asaK	150542218	1342561467	46322338
143	Mintael	150518404	782815557	39933317
144	MarQ	150175782	1263890326	5472093
145	YouKnow	148885190	1295713412	9188196
146	Кассл	147978394	749194963	8976780
147	Laland	147808637	1064533879	56820562
148	54oLeNkA54	147044691	1036422066	9486819
149	Mumford	146807456	360936169	41750358
150	MissA	146534919	292472409	6493045
151	Одуванчик	146371128	742975879	23666783
152	XxLilithxX	145986241	1421298643	10929461
153	KillaT	145638443	6308879308	5718024
154	[ambiguous-I/l]	145587573	3047831592	6523732
155	Immortall Ban	144777375	502889883	5137590
156	FishツKa	144709417	595939203	18734541
157	Còi	143928809	2537637512	438513
158	Jon Jones	143686001	2355246624	10326912
159	Nana阿阿	143306763	1122394820	30936419
160	Starry Nights	142914593	2128232240	16966763
161	nirr	142787898	2749634606	34142512
162	nephew	142615627	2786018302	15052636
163	NewDave	142328899	544320468	10292627
164	ioRi yaGami	142287224	6768975499	10534082
